importo,livello,durata,tipologia,saldo,eta,estinto
20000,D,3,Elettrodomestici,1431.6,24,1
9000,C,7,Autovettura,1135.62,21,0
22000,F,2,Autovettura,2211.03,25,1
5775,A,1,Elettrodomestici,812.5,23,1
13500,B,9,Autovettura,1826.25,24,1
2000,B,1,Elettrodomestici,1086.28,24,1
14400,C,1,Elettrodomestici,1875.58,23,0
14000,B,0,Elettrodomestici,814.96,26,0
7000,D,5,Elettrodomestici,765.63,21,0
5000,A,3,Elettronica,703.97,27,1
12000,A,19,Autovettura,3478.84,22,0
3800,C,3,Autovettura,1591.93,32,1
12000,B,5,Autovettura,2566.22,32,1
10000,A,3,Autovettura,1431.6,33,0
5000,C,6,Elettrodomestici,913.63,21,1
6000,A,2,Autovettura,1061.62,27,0
4600,D,5,Elettrodomestici,1332.94,23,1
2000,A,24,Elettrodomestici,494.31,41,1
14100,A,6,Elettrodomestici,1954.6,30,0
6200,D,61,Autovettura,1752.25,26,1
5000,D,3,Autovettura,3972.15,30,0
2100,A,6,Autovettura,1406.94,22,0
13200,D,,Autovettura,1130.68,30,1
25000,G,12,Elettrodomestici,4909.44,29,1
10000,C,0,Elettrodomestici,642.3,27,0
25000,B,3,Elettrodomestici,1678.26,26,1
10500,B,6,Autovettura,1466.13,22,0
6000,A,27,Elettrodomestici,1258.94,26,0
6000,C,7,Elettrodomestici,440.34,25,0
1000,C,4,Elettrodomestici,1382.27,55,1
25000,D,21,Autovettura,4342.14,24,0
9450,D,16,Elettrodomestici,617.64,32,0
11000,A,7,Autovettura,1357.61,37,0
15000,B,3,Elettrodomestici,1715.26,23,0
15000,A,9,Autovettura,4218.81,44,0
6500,B,,Autovettura,1998.91,34,0
16800,D,6,Elettrodomestici,1752.25,22,1
7750,A,15,Autovettura,1505.6,31,0
4000,B,2,Elettrodomestici,620.6,27,0
2300,B,0,Elettrodomestici,541.67,25,0
10000,A,9,Autovettura,1382.27,24,1
11200,D,11,Elettronica,1167.68,22,0
2500,B,5,Elettrodomestici,1012.29,25,0
11000,D,3,Elettrodomestici,1073.95,28,0
9600,B,4,Autovettura,1875.68,41,1
4800,C,7,Elettrodomestici,849.49,22,1
13000,A,3,Elettrodomestici,1234.28,22,1
10800,B,4,Elettrodomestici,1939.71,27,0
4600,D,3,Elettrodomestici,1352.67,26,1
12000,C,0,Autovettura,772.54,22,1
17800,E,1,Elettrodomestici,1998.91,23,0
20000,C,13,Autovettura,1135.62,25,0
10000,A,2,Autovettura,2492.22,34,0
6300,C,6,Autovettura,1382.27,24,1
10000,D,3,Elettrodomestici,1752.25,25,1
4200,B,1,Elettrodomestici,950.6,25,1
10000,D,2,Elettrodomestici,1086.28,25,0
12000,D,4,Elettrodomestici,642.3,30,1
10800,A,21,Autovettura,2615.55,24,0
6000,C,19,Autovettura,1678.26,24,0
12000,E,3,Elettrodomestici,2985.63,33,0
5650,D,0,Elettronica,395.65,25,0
8000,C,3,Autovettura,844.88,22,1
1000,D,11,Autovettura,691.64,27,0
8000,A,4,Elettrodomestici,1258.84,30,0
7000,B,3,Elettrodomestici,1012.29,34,0
12000,B,7,Autovettura,543.64,28,1
9500,B,1,Autovettura,849.49,35,0
14000,B,0,Autovettura,1752.25,30,1
24000,E,2,Autovettura,1875.48,23,0
4000,A,5,Elettrodomestici,1628.93,21,0
19975,C,9,Elettrodomestici,2985.53,28,1
24000,B,30,Autovettura,3848.83,61,1
23500,D,,Autovettura,1500.67,22,1
15000,C,10,Elettrodomestici,760.7,22,0
5000,C,6,Elettrodomestici,1027.09,25,0
5000,A,3,Elettrodomestici,494.31,25,0
10400,B,5,Elettronica,1012.29,25,1
3000,C,,Elettrodomestici,849.49,30,0
7500,C,3,Autovettura,2122.24,34,0
2400,D,2,Elettrodomestici,233.84,36,1
9000,C,4,Elettronica,1900.25,27,0
24000,F,13,Autovettura,2514.42,31,1
4000,C,0,Elettrodomestici,745.9,32,0
10000,B,0,Elettrodomestici,839.63,27,0
1600,G,4,Elettrodomestici,938.29,29,0
6000,A,4,Autovettura,2675.86,32,0
9000,C,2,Elettrodomestici,358.65,23,1
12000,B,2,Elettrodomestici,731.1,21,0
8000,A,4,Elettrodomestici,1678.26,49,0
8000,D,2,Elettrodomestici,938.29,24,1
1800,C,3,Elettrodomestici,793.48,34,0
4500,C,15,Elettrodomestici,1258.94,28,1
12250,B,4,Autovettura,1074.94,22,0
1500,A,1,Autovettura,1382.27,24,1
7000,B,12,Elettrodomestici,1135.62,24,0
8000,A,7,Elettrodomestici,1086.28,41,0
12875,B,3,Elettrodomestici,833.71,22,1
20000,D,12,Autovettura,6315.38,37,0
5000,D,0,Elettrodomestici,1505.6,25,1
17000,A,1,Autovettura,1332.94,52,1
6000,B,1,Elettrodomestici,1752.25,23,0
7000,E,6,Autovettura,1875.58,28,1
1050,A,6,Autovettura,1406.94,27,0
13750,E,23,Autovettura,855.51,22,1
10000,A,4,Autovettura,1324.65,23,0
2000,C,0,Elettrodomestici,716.3,21,1
2500,B,1,Elettronica,346.32,21,0
2000,D,4,Elettrodomestici,864.29,27,0
24000,A,4,Elettrodomestici,1086.28,26,0
25000,C,5,Autovettura,1714.66,23,1
10000,A,6,Autovettura,888.96,24,0
1500,C,0,Elettrodomestici,938.29,22,1
11500,B,0,Autovettura,612.71,22,1
1500,B,7,Elettrodomestici,1012.29,39,1
7500,B,9,Autovettura,1849.81,22,1
4800,B,26,Elettrodomestici,1604.26,29,0
8000,A,1,Elettronica,1579.6,31,0
10000,A,3,Autovettura,2985.53,25,0
7000,B,1,Autovettura,2196.23,46,1
32000,A,2,Elettrodomestici,2862.2,25,0
2500,C,0,Elettrodomestici,411.43,22,0
6000,B,5,Autovettura,3010.2,45,1
5000,B,22,Elettrodomestici,1308.27,26,1
2000,C,11,Elettrodomestici,555.97,37,0
10000,A,7,Autovettura,1752.25,26,0
4000,C,3,Autovettura,2738.88,29,0
10000,D,6,Autovettura,3848.83,36,1
8000,B,0,Elettrodomestici,543.64,22,0
8400,C,4,Autovettura,2368.89,23,1
10000,E,5,Autovettura,1382.27,23,1
22750,A,0,Elettrodomestici,1120.91,35,0
4000,C,7,Autovettura,1875.58,23,0
4200,C,18,Elettrodomestici,1419.57,27,1
12000,C,18,Elettrodomestici,691.64,24,1
33000,B,0,Autovettura,1628.93,27,0
2500,D,0,Elettronica,790.3,28,1
11500,A,6,Autovettura,1258.94,26,0
5000,C,3,Elettrodomestici,1505.6,23,0
4000,A,12,Elettrodomestici,1149.97,22,1
3500,A,2,Elettrodomestici,660.06,29,0
15000,A,1,Elettrodomestici,3528.17,34,0
14100,C,7,Elettrodomestici,1184.95,22,1
20000,C,9,Autovettura,1998.91,23,0
3200,A,1,Autovettura,1308.27,22,1
900,C,3,Elettrodomestici,198.32,32,1
3000,A,2,Elettrodomestici,858.08,25,0
4800,E,3,Elettrodomestici,272.32,24,1
18000,C,4,Elettrodomestici,3176.08,27,1
12000,B,5,Autovettura,2664.88,23,0
7200,B,4,Elettrodomestici,1012.29,27,1
6000,E,2,Elettrodomestici,790.3,33,0
5000,B,8,Elettrodomestici,1739.92,26,0
8000,B,3,Elettrodomestici,790.3,30,0
7000,C,5,Autovettura,1737.45,36,1
5500,C,1,Autovettura,516.51,22,1
14000,B,0,Elettrodomestici,938.29,27,0
15600,D,21,Autovettura,2048.24,49,1
1925,B,0,Elettrodomestici,642.3,23,0
18000,B,5,Elettrodomestici,1974.24,25,0
10000,A,4,Autovettura,1406.94,26,1
7500,C,1,Elettrodomestici,888.96,30,1
2000,A,0,Autovettura,1579.4,29,0
19550,D,0,Elettrodomestici,3108.86,22,0
2500,A,3,Elettronica,543.64,28,0
5000,A,1,Autovettura,2368.89,24,0
6000,B,2,Autovettura,995.02,27,1
6500,B,6,Elettrodomestici,420.31,21,1
4000,A,,Elettronica,731.1,23,0
8000,A,6,Autovettura,2985.53,25,0
15450,C,7,Elettrodomestici,2862.2,26,1
6000,D,2,Autovettura,1287.56,24,1
10000,B,12,Autovettura,796.51,25,1
4800,A,1,Elettrodomestici,568.31,21,0
10000,C,13,Autovettura,1769.25,30,0
5000,A,2,Autovettura,1875.58,25,0
5000,B,24,Autovettura,2211.03,22,0
8000,A,18,Autovettura,1505.6,26,0
16000,B,14,Autovettura,1406.94,32,1
6000,D,0,Elettrodomestici,1655.42,23,0
5000,A,6,Elettrodomestici,1382.27,23,0
9000,D,3,Elettrodomestici,1628.93,29,0
23000,C,0,Autovettura,2862.2,23,0
14000,C,31,Elettrodomestici,1843.52,22,0
5000,A,4,Elettronica,346.32,27,1
5500,C,1,Autovettura,139.13,25,0
7000,C,3,Elettrodomestici,802.63,27,0
12000,A,2,Elettrodomestici,1495.12,24,0
15000,B,4,Autovettura,1554.93,39,0
2800,B,7,Elettrodomestici,494.31,32,0
10800,C,2,Elettrodomestici,1258.94,25,0
4800,C,5,Elettrodomestici,888.86,26,0
14500,A,11,Autovettura,1480.93,35,0
9600,B,2,Autovettura,1258.94,27,0
25000,C,11,Autovettura,1702.92,25,1
10000,B,1,Elettronica,1258.94,22,0
18000,A,1,Autovettura,1086.28,38,0
3000,D,5,Elettrodomestici,1382.27,40,1
8400,B,7,Autovettura,612.71,23,0
4000,B,2,Elettrodomestici,864.29,36,1
8000,B,3,Autovettura,1234.28,24,0
8000,B,25,Autovettura,2595.82,28,0
21000,B,17,Elettrodomestici,2615.55,39,0
5000,B,,Elettrodomestici,839.63,23,1
8000,C,5,Elettrodomestici,1258.94,31,0
3600,B,0,Elettrodomestici,2615.55,30,0
12000,E,3,Elettrodomestici,1135.62,24,0
6000,C,0,Elettrodomestici,723.21,21,0
2300,C,4,Elettrodomestici,1579.6,29,1
4075,A,0,Elettrodomestici,375.92,31,0
12375,B,2,Autovettura,877.91,30,1
6350,A,0,Autovettura,790.3,26,0
14500,A,11,Elettrodomestici,2368.89,26,0
4200,C,6,Elettronica,1086.28,35,0
20000,D,27,Autovettura,2891.26,28,0
6925,B,6,Elettrodomestici,518.98,21,0
1000,D,0,Elettronica,328.56,38,1
2000,B,4,Autovettura,1258.94,21,1
10000,B,16,Autovettura,691.64,23,0
12000,A,4,Autovettura,1628.93,31,0
16750,B,4,Elettrodomestici,716.3,33,0
4000,C,4,Elettronica,272.32,23,0
1050,A,6,Autovettura,1406.94,27,0
4000,A,17,Elettronica,523.91,32,0
2500,B,2,Elettronica,395.75,21,1
14000,D,4,Elettrodomestici,1056.69,39,0
10000,C,0,Elettrodomestici,999.19,35,1
6000,B,2,Elettrodomestici,1053.73,22,1
1000,D,20,Elettrodomestici,1086.28,21,1
8000,D,3,Elettrodomestici,1382.27,24,0
13000,A,0,Elettrodomestici,2122.24,24,0
20000,C,3,Autovettura,3848.83,25,0
16000,B,13,Elettrodomestici,2122.24,27,0
3000,B,0,Elettrodomestici,227.92,28,1
7125,A,1,Autovettura,790.3,39,0
2500,B,7,Elettronica,281.2,22,1
2050,A,16,Elettronica,1135.62,23,0
7600,A,13,Autovettura,2368.89,27,0
4800,A,6,Autovettura,765.63,38,0
1600,C,3,Autovettura,605.31,27,1
4800,D,4,Elettrodomestici,1480.83,31,1
7475,A,3,Elettronica,1209.61,28,1
11000,B,8,Elettrodomestici,1012.29,22,0
12000,B,1,Elettrodomestici,1382.27,24,0
15600,B,0,Elettrodomestici,1604.26,36,0
6000,C,0,Elettrodomestici,765.63,25,1
10000,B,2,Elettrodomestici,3972.15,24,0
4500,A,0,Elettrodomestici,790.3,21,0
5000,C,2,Elettronica,703.97,23,1
7200,B,2,Autovettura,2492.22,26,0
10000,C,5,Autovettura,869.62,23,0
6000,B,7,Autovettura,888.86,22,0
15000,C,31,Elettrodomestici,1752.25,23,1
8000,B,4,Autovettura,1431.6,29,1
2500,B,4,Elettrodomestici,1628.93,24,1
1500,C,3,Elettrodomestici,913.13,22,1
24000,D,5,Autovettura,3232.19,26,1
4500,B,21,Elettrodomestici,1431.6,23,1
24175,B,9,Autovettura,2245.57,23,1
35000,C,16,Elettrodomestici,1628.93,24,1
8000,B,14,Autovettura,938.29,23,0
10000,B,4,Elettrodomestici,790.3,27,1
4200,A,5,Elettrodomestici,642.3,34,0
11200,D,5,Elettrodomestici,938.29,21,0
5000,B,3,Autovettura,1258.84,22,0
7300,A,5,Elettrodomestici,1135.62,27,0
10000,B,7,Elettronica,1382.27,24,0
7000,C,2,Elettrodomestici,257.52,29,1
12000,A,3,Autovettura,1702.53,24,0
8000,C,16,Autovettura,1382.27,21,0
10000,C,0,Elettrodomestici,1382.27,25,1
10000,E,1,Autovettura,1382.27,36,1
10000,A,8,Autovettura,2270.23,28,1
3200,D,3,Elettrodomestici,370.88,22,1
5000,D,4,Elettronica,716.3,21,1
6000,C,2,Elettrodomestici,1086.28,23,1
3600,A,9,Elettrodomestici,691.64,24,0
9700,B,1,Elettrodomestici,1293.47,27,1
2050,C,23,Autovettura,716.3,24,1
5000,C,0,Elettrodomestici,1098.72,29,0
7500,A,5,Elettrodomestici,839.63,22,0
15000,C,8,Elettrodomestici,683.74,21,1
8000,B,0,Elettrodomestici,568.31,26,0
28000,D,8,Elettronica,3355.52,27,0
12000,A,2,Elettrodomestici,642.3,34,1
10000,A,23,Elettrodomestici,1628.93,23,1
16525,C,9,Elettrodomestici,1628.93,26,0
2400,C,4,Elettrodomestici,1554.93,26,0
3000,B,10,Elettrodomestici,1352.67,33,0
4000,A,4,Autovettura,2738.88,25,0
4500,A,8,Autovettura,592.97,26,1
2000,B,1,Elettrodomestici,1875.58,23,0
9000,B,3,Elettrodomestici,1727.59,26,0
17000,B,11,Elettrodomestici,2270.23,22,0
8000,D,4,Elettrodomestici,1441.47,24,1
1400,A,,Elettronica,115.15,23,0
2400,C,5,Elettrodomestici,2368.87,25,1
12800,D,2,Autovettura,3404.75,27,1
3000,A,11,Elettrodomestici,1554.93,32,0
10800,A,38,Autovettura,1160.28,33,1
3000,A,,Autovettura,319.38,36,0
4000,B,1,Elettrodomestici,1826.25,32,0
7400,D,2,Autovettura,1653.59,22,0
2200,B,8,Elettrodomestici,1628.93,27,0
17000,C,5,Elettrodomestici,814.96,35,0
7000,B,7,Elettrodomestici,997.49,27,1
5000,A,1,Elettrodomestici,1184.95,23,0
6000,B,3,Elettrodomestici,864.29,22,1
12000,D,16,Autovettura,1436.73,22,0
24000,E,0,Elettrodomestici,1209.61,27,0
4800,B,19,Autovettura,2566.22,25,0
1600,C,2,Elettronica,1309.95,26,1
4200,B,2,Elettrodomestici,679.3,31,0
4000,C,0,Elettrodomestici,1086.28,33,0
2400,C,2,Elettrodomestici,660.06,23,1
7500,D,15,Autovettura,2492.22,43,0
6000,B,0,Elettrodomestici,2122.24,30,0
25000,D,1,Autovettura,2393.56,24,1
4800,C,0,Elettrodomestici,1505.6,26,0
6400,D,5,Elettrodomestici,1752.25,35,1
10000,D,6,Autovettura,1752.25,22,1
6000,B,1,Elettrodomestici,1086.28,40,1
6500,C,1,Elettrodomestici,888.96,22,1
4500,C,2,Elettrodomestici,888.86,22,0
4800,A,,Elettrodomestici,2097.57,26,0
15000,E,11,Autovettura,4095.48,33,1
7500,B,0,Elettrodomestici,888.96,32,1
22000,B,5,Autovettura,2388.63,30,0
12000,B,3,Elettrodomestici,1752.25,27,1
18000,G,16,Autovettura,7302,28,1
4000,A,1,Autovettura,283.57,31,0
22000,B,0,Autovettura,1690.59,23,1
4500,A,4,Elettrodomestici,1209.61,40,0
25000,D,4,Elettrodomestici,1258.94,23,0
5000,A,1,Elettrodomestici,888.96,45,1
5200,B,2,Autovettura,790.3,24,0
9800,C,7,Elettrodomestici,1135.62,23,1
25000,E,0,Autovettura,3602.17,28,0
8650,A,13,Autovettura,1382.27,28,0
1500,B,2,Elettrodomestici,287.12,21,0
6000,A,4,Autovettura,1653.59,25,1
10000,B,4,Elettrodomestici,938.29,22,1
13000,C,12,Elettrodomestici,494.31,21,1
2000,A,0,Elettrodomestici,198.32,23,0
11700,A,,Autovettura,1819,23,0
3000,A,0,Elettrodomestici,612.71,27,1
6400,D,19,Autovettura,1135.62,22,1
7000,C,0,Elettrodomestici,1135.62,30,0
7000,A,1,Autovettura,1505.6,23,0
1925,B,7,Elettronica,1619.06,23,0
1500,A,2,Elettrodomestici,515.03,28,1
4500,A,2,Elettrodomestici,987.72,26,0
24250,D,0,Elettrodomestici,2862.2,29,1
2350,A,7,Elettrodomestici,890.93,37,0
5325,B,,Elettrodomestici,444.98,21,1
30000,A,0,Elettrodomestici,3133.53,21,0
6400,C,9,Elettrodomestici,1648.04,28,1
7000,A,13,Autovettura,1012.29,22,1
18000,B,0,Elettrodomestici,950.13,43,1
8000,E,0,Autovettura,1135.62,25,0
7500,B,6,Elettrodomestici,1056.69,26,0
6000,E,3,Elettrodomestici,1073.95,23,1
4000,C,2,Elettrodomestici,346.32,24,1
2800,F,1,Elettrodomestici,469.65,22,1
21600,D,2,Autovettura,1347.74,27,1
9000,E,4,Elettrodomestici,938.29,35,1
8000,B,9,Autovettura,1086.28,26,0
9600,B,5,Elettrodomestici,765.63,25,0
18000,D,0,Elettrodomestici,1283.61,52,0
11000,B,3,Autovettura,938.29,26,1
2000,A,2,Elettrodomestici,814.96,24,0
8000,B,0,Elettrodomestici,2245.57,25,0
12000,B,1,Elettrodomestici,1406.94,27,0
9000,A,7,Autovettura,1106.02,24,0
11000,A,4,Elettrodomestici,765.63,29,0
2400,B,0,Autovettura,642.3,21,0
12600,B,27,Elettronica,839.63,30,1
9600,A,3,Elettronica,864.29,27,0
18000,B,0,Autovettura,1318.34,30,0
10000,C,34,Elettrodomestici,2122.24,31,1
14150,B,3,Elettrodomestici,888.96,29,0
12000,A,22,Autovettura,5822.07,29,0
1500,D,2,Elettrodomestici,839.73,41,1
15000,B,1,Elettrodomestici,2122.24,26,1
12000,B,5,Autovettura,2005.03,25,1
10000,B,2,Autovettura,1558.51,22,0
15000,A,7,Elettrodomestici,2260.36,23,1
6000,A,11,Autovettura,1184.95,28,0
7000,A,2,Elettrodomestici,1012.29,22,1
14000,A,3,Elettrodomestici,642.3,34,0
9600,A,7,Elettrodomestici,1516.7,24,0
3000,C,,Elettrodomestici,793.55,38,1
3800,C,0,Elettrodomestici,375.92,25,0
1000,A,4,Autovettura,642.3,23,1
7500,D,2,Elettrodomestici,2159.24,24,1
4500,B,0,Elettrodomestici,1012.29,23,0
4000,C,20,Elettronica,790.3,30,0
18000,A,6,Elettrodomestici,1875.58,21,0
20000,B,6,Elettrodomestici,1382.27,25,1
1600,D,13,Elettrodomestici,864.29,27,1
4075,A,0,Elettrodomestici,375.92,31,0
7500,D,7,Autovettura,1283.61,23,1
15000,B,19,Elettrodomestici,938.29,23,0
24000,D,7,Autovettura,2319.56,25,0
1950,B,,Elettronica,198.32,47,0
10000,A,,Autovettura,1406.94,23,0
1000,B,3,Elettronica,316.72,51,0
8400,C,6,Autovettura,3651.6,35,1
10000,A,0,Autovettura,3232.19,33,0
6600,A,0,Elettronica,691.73,22,1
6000,A,5,Elettrodomestici,765.63,23,1
3000,A,2,Elettrodomestici,888.96,27,0
4800,B,6,Elettrodomestici,990.09,28,1
20000,A,5,Autovettura,4564.13,33,0
5500,B,20,Elettrodomestici,1323.07,26,1
10000,A,5,Autovettura,2566.22,25,1
3000,A,9,Elettrodomestici,1974.24,25,0
14500,A,14,Elettronica,987.62,24,0
9600,C,7,Elettrodomestici,834.7,23,1
7150,D,17,Elettrodomestici,1493.27,41,1
10000,A,1,Autovettura,1308.27,27,1
17000,D,3,Elettrodomestici,2171.57,31,0
4500,A,1,Autovettura,1308.27,30,0
22350,E,1,Elettronica,3232.19,27,1
10000,B,7,Elettrodomestici,642.3,28,1
5000,B,9,Autovettura,1505.6,21,1
7200,D,2,Elettrodomestici,1998.91,25,0
8000,B,5,Elettrodomestici,1135.62,37,0
11400,E,4,Autovettura,1258.94,23,1
10000,A,1,Elettrodomestici,518.98,21,1
5050,C,5,Autovettura,1431.6,28,1
8800,A,3,Elettrodomestici,1382.27,22,0
15000,C,0,Autovettura,1712.59,34,1
20000,B,9,Autovettura,1998.91,29,0
16000,C,2,Elettrodomestici,1012.29,41,0
10000,G,2,Autovettura,2566.22,26,1
10000,C,7,Elettronica,642.3,24,1
6000,D,0,Elettrodomestici,565.35,29,0
10000,B,0,Autovettura,346.32,24,1
10000,A,0,Elettrodomestici,1628.93,46,0
17000,D,0,Elettrodomestici,2122.24,26,0
25000,D,2,Elettrodomestici,1135.62,24,1
6000,B,,Autovettura,1505.6,26,0
8000,D,14,Autovettura,888.96,38,1
7200,A,2,Autovettura,2048.24,27,0
8000,A,5,Autovettura,1234.28,24,0
2800,D,2,Elettrodomestici,967.89,25,1
3000,A,19,Autovettura,938.29,22,0
8000,B,4,Autovettura,1998.81,30,0
20000,G,4,Elettrodomestici,1505.6,29,0
4000,B,2,Elettrodomestici,1875.58,25,0
12000,A,3,Elettrodomestici,1308.27,24,1
25000,F,1,Autovettura,2862.2,24,0
16000,A,5,Elettrodomestici,1875.58,27,0
8500,B,4,Elettrodomestici,518.98,25,0
15000,D,19,Elettrodomestici,814.96,22,1
5600,C,8,Elettrodomestici,1771.91,31,0
8000,C,2,Elettrodomestici,1424.2,26,1
27575,B,1,Autovettura,1234.28,27,0
12800,D,28,Elettrodomestici,1091.22,22,1
8000,D,5,Autovettura,1505.6,29,1
1000,B,,Elettrodomestici,148.99,23,1
6400,C,2,Elettrodomestici,765.63,23,0
20000,E,6,Autovettura,3478.84,28,1
15000,C,0,Elettrodomestici,1900.25,23,1
25000,D,2,Elettrodomestici,1184.95,26,0
10875,C,9,Elettrodomestici,925.96,22,1
12000,A,4,Elettrodomestici,1752.25,23,0
10000,B,14,Elettronica,1850.82,22,1
3000,B,8,Elettrodomestici,711.27,30,0
12000,D,4,Autovettura,1382.27,25,1
6000,A,,Elettronica,824.93,27,0
5000,C,6,Autovettura,1382.27,41,1
10000,D,15,Autovettura,1012.29,29,1
20000,D,1,Elettrodomestici,1086.28,22,1
6000,B,2,Autovettura,938.29,26,1
2000,C,2,Elettrodomestici,913.63,27,0
4000,A,5,Autovettura,375.92,26,0
10000,B,1,Autovettura,1160.28,32,0
18000,D,1,Elettrodomestici,4342.14,30,0
8500,B,4,Autovettura,1910.11,22,0
9975,D,2,Elettrodomestici,1850.92,40,0
2000,A,1,Elettronica,494.31,32,0
12000,D,29,Elettrodomestici,1234.28,29,0
7500,D,6,Autovettura,1998.91,34,1
5000,D,4,Elettrodomestici,1332.84,24,0
15000,B,1,Elettrodomestici,642.3,31,1
1500,A,11,Autovettura,1564.45,28,0
